HNetID,VIN,Stock #,Stock-Type,Year,Make,Model,Model-No,Model-Type,Transmission,Trim-Level,# of Doors,Mileage,# of Cyl,Engine,Drivetrain,Ext. Color,Int. Color,Invoice Price,Retail Price,Book Value,Selling Price,Entry Date,Certified,Description,Options,Wheelbase,Commercial
2122511,5XXGM4A70FG465097,K20835,NEW,2015,KIA,OPTIMA,53222/010,SD,AUTOMATIC,,,8,,,,EBONY_BLACK/EBONY_BLACK,,22296.00,23070.00,,23070.00,04/13/15,,,CF RS,,
2122511,5XXGN4A76FG404415,K19918,NEW,2015,KIA,OPTIMA,53242/030,,,,,4,,G4KJEK57761,,3D_BRIGHT_SILVER/3D_BRIGHT_SILVER,,27103.00,28625.00,,28625.00,09/24/14,,,PB RSP,,
2122511,5XXGR4A69FG360535,K19263,NEW,2015,KIA,OPTIMA,55282/060,,,,,5,,,,IM_TITANIUM_GRAY/IM_TITANIUM_GRAY,,32771.00,34680.00,,34680.00,06/02/14,,,PR RSP SST WL,,
2122511,KNDPB3AC5F7701572,K20049,NEW,2015,KIA,SPORTAGE,42222/020,UTILITY,AUTOMATIC,,,4,4,G4KJEH64959,,E6S/MINERAL_SILVER,,24167.00,25010.00,,25010.00,10/17/14,,,CF PKG PL RS UVH,,
2122511,5XXGM4A74FG449145,K20442,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,5,,,,SMOKEY_BLUE/SMOKEY_BLUE,,23282.00,24120.00,,24120.00,02/04/15,,,CF CKG RS,,
2122511,KNDPBCAC1F7771747,K20704,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,9,,,,BRIGHT_SILVER/BRIGHT_SILVER,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,5XYPG4A30GG033143,K20573,NEW,2016,KIA,SORENTO,73222/020,UT,AUTOMATIC,,,6,,,,TITANIUM_SILVER/TITANIUM_SILVER,,27838.00,28670.00,,28670.00,03/18/15,,,CF CPK EH MUG,,
2122511,KNAFK4A62F5412234,K20836,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,7,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,KNDPB3AC8F7699753,K20050,NEW,2015,KIA,SPORTAGE,42222/020,UTILITY,AUTOMATIC,,,3,4,G4KJEH64860,,UD/CLEAR_WHITE,,24167.00,25010.00,,25010.00,10/17/14,,,CF PKG PL RS UVH,,
2122511,KNDPBCAC3F7771748,K20705,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,7,,,,BRIGHT_SILVER/BRIGHT_SILVER,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
